Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040570,-,-,-,35.09,-81.06,-5,191,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,1,30,0,0,0,-2,1,990,78.16,354.3,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,2,30,0,0,0,-2,0,990,81.47,11,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,3,30,0,0,0,-3,0,990,77.12,24.1,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,4,30,0,0,0,-4,0,990,73.19,33.4,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,5,30,0,0,0,-4,-1,990,75.89,43.5,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,6,30,0,0,0,-4,-1,990,74.41,50.5,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,7,30,0,0,0,-4,0,990,71.19,55,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,8,30,171,59,86,-4,1,990,66.74,55.7,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,9,30,240,123,199,-5,2,990,56.75,65,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,10,30,400,161,335,-6,3,990,51.13,62.3,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,11,30,260,225,357,-6,4,990,47.73,50.2,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,12,30,146,248,326,-5,5,990,45.12,52.6,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,13,30,51,216,243,-5,6,990,43.19,69.7,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,14,30,126,191,246,-5,7,980,44.95,100.5,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,15,30,100,132,164,-3,6,980,49.86,130.3,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,16,30,52,59,67,0,5,980,73.45,129.6,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,17,30,0,0,0,0,3,980,86.62,103.1,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,18,30,0,0,0,0,3,980,84.07,102.7,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,19,30,0,0,0,0,3,980,77.85,113.9,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,20,30,0,0,0,-1,3,980,73.51,128.3,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,21,30,0,0,0,-1,3,980,69.75,162.3,0.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,22,30,0,0,0,-2,2,980,74.73,242.8,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,23,30,0,0,0,-1,1,980,82.98,285.5,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,0,30,0,0,0,0,1,980,86.92,303.8,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,1,30,0,0,0,0,1,980,89.03,312.4,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,2,30,0,0,0,0,1,980,91.01,315.5,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,3,30,0,0,0,0,1,980,91.67,325.8,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,4,30,0,0,0,0,1,980,89.98,339.5,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,5,30,0,0,0,0,0,990,95.55,348.9,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,6,30,0,0,0,-1,0,990,91.29,0.8,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,7,30,0,0,0,-1,0,990,88.03,14.6,0.9,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,8,30,37,59,65,-1,2,990,77.92,19.7,1.3,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,9,30,84,129,155,-2,5,990,60.48,25.4,1.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,10,30,0,125,125,-2,6,990,53.84,30.3,1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,11,30,0,132,132,-2,7,990,54.61,26.6,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,12,30,0,47,47,-1,6,990,57.01,26,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,13,30,0,88,88,0,5,990,66.66,355.2,1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
