Electricty [kW],Heating demand [kW]
244.9543755,258.847475
230.9626088,202.6914607
236.6357121,180.4499312
279.7214839,180.8984096
373.307624,206.710145
460.4084272,198.638494
533.4249018,210.8781775
557.778339,248.3942717
520.2151734,315.280251
436.4154484,345.8828382
361.9051733,397.505882
281.4957237,446.4584907
254.8860475,488.8887385
243.0569162,506.1678749
247.7698442,540.6142244
254.4883516,574.1493371
275.0474047,604.2143653
327.886394,654.9760069
385.2969976,637.6008086
329.4824051,484.6501408
286.1838762,418.7039153
276.7691693,379.786033
253.2021219,258.5274885
236.839579,200.5515004
228.6388036,185.8930671
228.3156736,190.8530515
245.0526578,218.0854295
294.9638108,249.0264736
395.6609831,306.591341
494.227851,349.7541989
565.1710671,352.6990696
586.1541882,375.1373425
540.5151931,405.9344606
454.633207,427.2233062
368.9329175,428.8546983
282.0101419,448.7348119
248.6298057,461.0033275
244.7110281,513.7781057
253.4295132,566.1687621
261.7206516,606.7377421
277.7879969,616.7542829
328.5317553,658.2214148
389.168696,655.3086292
368.1156709,657.4522387
323.0389465,583.4198732
331.7301186,625.4304985
321.5201426,563.8116422
311.6687562,534.9771901
295.7025657,485.6621149
291.8962518,475.0625392
301.9489903,472.4295385
344.2647596,469.4266016
429.924506,459.7926436
517.7183435,454.8456403
593.5075958,479.4174743
610.9478767,486.0065036
559.6619596,491.5534723
471.8085391,504.0423819
389.417384,520.4643419
308.1651409,565.6980535
274.7009117,577.5353152
260.817919,585.6518856
255.096565,573.5045426
253.2150412,568.6771481
266.398701,565.8858397
305.3794114,554.8211142
364.8125615,546.6307705
342.6788339,544.0234912
309.2784235,522.1969147
297.4929489,472.6507532
282.2470677,388.5699623
282.7451906,405.9712542
259.5090858,324.0722968
246.1743057,270.8726453
250.0534266,240.6265585
289.8966968,226.566094
383.6950331,253.3555383
463.1489417,211.0870187
545.4036658,264.7047892
571.8723404,311.7156443
525.664807,340.0202211
456.3599555,435.509174
382.5279902,490.1871991
294.4605988,498.0813759
268.0564496,544.2565481
255.9806981,561.8467117
261.0498955,599.2347132
262.7025635,608.7904332
273.7059354,594.6863041
313.4108298,579.9833903
368.2708781,540.3306063
335.9521999,480.4573697
307.9393824,469.5803518
296.1768028,413.9448586
294.8015819,390.2169531
276.5992501,328.8475826
269.115489,321.8195804
268.0486715,328.1211417
258.7416296,240.9621382
290.0199974,189.7585179
388.6180371,238.6911488
472.142992,215.6951669
545.2312509,228.3698142
567.4916123,255.9612562
527.8134768,312.7332656
450.0620257,378.1121172
367.9891426,409.2978195
285.2314344,457.1955296
251.5099241,470.6170979
243.5073752,506.472885
247.9256459,540.9389639
254.8093851,573.9009678
270.0958086,578.9285682
330.3733125,656.2553729
377.2757122,580.8140769
335.0499434,476.5902386
289.6498215,387.9450619
278.1783475,333.6138881
266.534665,263.8804873
243.6266404,181.3578456
227.8258818,137.0417467
213.7125704,84.8707947
216.9108752,53.63560758
257.6577073,44.78490443
352.5147974,76.97060552
443.4232029,87.08230514
521.8037821,123.4937641
544.2834353,152.0835167
500.6277908,191.0826123
417.7979153,233.7704206
330.6725341,242.3480457
244.5618318,282.1594951
209.3037822,285.9809977
196.5055723,299.0051359
194.5273103,303.5961831
185.8264716,268.199184
195.520464,249.7696023
241.244372,268.89179
287.2229756,200.3351531
264.995753,197.3395168
231.5855524,175.3918911
231.4071568,177.7439908
232.0361125,164.5525339
226.9447045,156.9130605
219.6587705,146.2962495
199.1116768,60.45150135
203.9894532,34.53957659
253.6736892,64.6350565
348.8947105,97.89936504
437.7996506,97.90327336
528.8930294,191.2976376
557.6854975,248.7653744
515.1188323,293.36535
445.4864705,387.460111
366.1719714,417.6411775
279.3893702,438.1377934
249.5441923,466.178576
240.7455833,497.0530232
241.116203,512.0863723
250.299763,556.7177301
271.3062149,588.7944791
327.290964,653.6179366
367.4640092,559.0473272
352.5489336,588.7295691
301.5496803,488.096883
302.6092874,495.9299824
275.173438,357.1667961
271.1630227,354.3907735
258.5855441,320.0821956
264.8417281,354.4511335
272.7865452,342.3172269
320.7480788,364.5374098
414.3890887,390.518492
509.7676189,419.3978972
591.6283399,471.0543942
616.9721508,512.8432198
578.20553,574.2032104
493.8241503,602.1272118
414.0013771,629.9354744
342.2059724,717.2214218
310.4686375,736.6639389
298.7844456,754.5563097
298.5226688,766.7398942
305.9525343,803.3897994
319.6494759,802.7111901
380.1502537,887.5340996
409.2181496,743.7039228
362.3537258,630.8765628
318.0325517,560.4193458
308.9691028,523.0960374
287.5714179,411.6646254
270.3270835,349.8287749
254.9371537,303.0878568
247.9151391,278.1171314
246.5239689,224.3644981
286.3460059,210.2349143
387.863271,271.4075019
478.1802392,277.6776556
559.588576,327.3142884
583.7371294,363.7926372
540.6543917,405.9056637
462.2325161,460.4155385
388.5098949,515.4319093
298.1230906,519.7813602
266.4148735,539.4446238
253.7587238,553.0377143
252.6655429,561.5575652
253.3121875,568.0062
266.3335138,564.4698046
312.0121328,583.2932201
354.0743464,497.6050378
316.6764721,426.9862585
270.1329804,346.5923328
256.1699006,287.4145388
242.1299558,208.8174093
224.9923796,147.4252311
205.1582618,80.79490397
198.223212,56.19780942
205.094355,39.31318686
252.2287457,57.86069092
340.3832519,59.38789941
429.7871472,61.66548463
508.7959765,100.7327651
