charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,,,,,
0,0,1.903628677,289.2883643,0.030052,0.033572,Discharge-----,,,,,
0,0,1.903628677,273.289136,0.030052,0.033308,Discharge-----,,,,,
0,0,1.903628677,257.3965734,0.030052,0.032868,Discharge-----,,,,,
0,0,1.903628677,243.7385738,0.030052,0.03245,Discharge-----,,,,,
0,0,1.903628677,255.1055613,0.030052,0.032373,Discharge-----,,,,,
0,0,1.903628677,317.4634192,0.030052,0.032131,Discharge-----,,,,,
0,0,1.903628677,445.3415447,0.030052,0.031713,Discharge-----,,,,,
7.614514708,0,9.518143386,557.1011056,0.038522,0.032065,Charge+++++,,,,,
0,0,9.518143386,617.065053,0.038522,0.031911,Charge+++++,,,,,
0,0,9.518143386,595.3576181,0.038522,0.031999,Charge+++++,,,,,
0,0,9.518143386,543.5751976,0.038522,0.031999,Charge+++++,,,,,
0,0,9.518143386,462.487582,0.038522,0.032175,Charge+++++,,,,,
0,0,9.518143386,378.1490363,0.038522,0.033704,Charge+++++,,,,,
0,0,9.518143386,284.6345589,0.038522,0.037532,Charge+++++,,,,,
0,6.853063238,1.903628677,251.0750178,0.038522,0.043428,Discharge-----,,,,,
0,0,1.903628677,245.4566239,0.038522,0.045408,Discharge-----,,,,,
0,0,1.903628677,238.3399026,0.038522,0.045298,Discharge-----,,,,,
0,0,1.903628677,238.5388442,0.038522,0.045298,Discharge-----,,,,,
0,0,1.903628677,256.892045,0.038522,0.042141,Discharge-----,,,,,
0,0,1.903628677,319.5721669,0.038522,0.041404,Discharge-----,,,,,
0,0,1.903628677,398.5310264,0.038522,0.040942,Discharge-----,,,,,
0,0,1.903628677,371.5965338,0.038522,0.039886,Discharge-----,,,,,
0,0,1.903628677,310.2249393,0.038522,0.040975,Discharge-----,,,,,
0,0,1.903628677,302.8728742,0.038522,0.04532,Discharge-----,,,,,
0,0,1.903628677,292.2797562,0.038522,0.0473,Discharge-----,,,,,
0,0,1.903628677,276.5862826,0.038522,0.041888,Discharge-----,,,,,
7.614514708,0,9.518143386,260.8603443,0.038522,0.038269,Charge+++++,,,,,
0,0,9.518143386,254.1137639,0.038522,0.034518,Charge+++++,,,,,
0,0,9.518143386,273.0115342,0.038522,0.034232,Charge+++++,,,,,
0,0,9.518143386,338.1102303,0.038522,0.033858,Charge+++++,,,,,
0,0,9.518143386,462.1537819,0.038522,0.032912,Charge+++++,,,,,
0,0,9.518143386,577.7689427,0.033869,0.032802,Charge+++++,,,,,
0,0,9.518143386,634.4964736,0.033869,0.031878,Charge+++++,,,,,
0,0,9.518143386,620.399375,0.033869,0.031504,Charge+++++,,,,,
0,0,9.518143386,576.0654991,0.033869,0.03135,Charge+++++,,,,,
0,0,9.518143386,493.6364336,0.033869,0.031471,Charge+++++,,,,,
0,0,9.518143386,409.3278606,0.033869,0.031614,Charge+++++,,,,,
0,0,9.518143386,328.5335319,0.033869,0.032439,Charge+++++,,,,,
0,0,9.518143386,305.3516138,0.033869,0.032747,Charge+++++,,,,,
0,0,9.518143386,300.8863386,0.033869,0.033649,Charge+++++,,,,,
0,6.853063238,1.903628677,297.8870784,0.033869,0.034111,Discharge-----,,,,,
0,0,1.903628677,303.2428949,0.033869,0.03476,Discharge-----,,,,,
0,0,1.903628677,316.4175817,0.033869,0.034749,Discharge-----,,,,,
0,0,1.903628677,388.1044178,0.033869,0.034254,Discharge-----,,,,,
0,0,1.903628677,468.0326834,0.033869,0.034056,Discharge-----,,,,,
0,0,1.903628677,418.3574503,0.033869,0.034067,Discharge-----,,,,,
0,0,1.903628677,336.1745351,0.033869,0.034243,Discharge-----,,,,,
0,0,1.903628677,314.6777619,0.033869,0.036861,Discharge-----,,,,,
0,0,1.903628677,305.532984,0.033869,0.038885,Discharge-----,,,,,
0,0,1.903628677,283.0645899,0.033869,0.037917,Discharge-----,,,,,
0,0,1.903628677,269.4874674,0.033869,0.035178,Discharge-----,,,,,
0,0,1.903628677,266.4761461,0.033869,0.034727,Discharge-----,,,,,
7.614514708,0,9.518143386,269.9789774,0.033869,0.033726,Charge+++++,,,,,
0,0,9.518143386,330.0040715,0.033869,0.033275,Charge+++++,,,,,
0,0,9.518143386,452.6178227,0.033869,0.032505,Charge+++++,,,,,
0,0,9.518143386,557.6273075,0.034122,0.031922,Charge+++++,,,,,
0,0,9.518143386,618.4260968,0.034122,0.031394,Charge+++++,,,,,
0,0,9.518143386,603.8085529,0.034122,0.030063,Charge+++++,,,,,
0,0,9.518143386,553.7843252,0.034122,0.029799,Charge+++++,,,,,
0,0,9.518143386,465.7615824,0.034122,0.030063,Charge+++++,,,,,
0,0,9.518143386,384.7454889,0.034122,0.03157,Charge+++++,,,,,
0,0,9.518143386,296.2577517,0.034122,0.031999,Charge+++++,,,,,
0,0,9.518143386,264.3288422,0.034122,0.032263,Charge+++++,,,,,
0,0,9.518143386,246.2518162,0.034122,0.033605,Charge+++++,,,,,
0,6.853063238,1.903628677,242.5898295,0.034122,0.035134,Discharge-----,,,,,
0,0,1.903628677,242.5742095,0.034122,0.035266,Discharge-----,,,,,
0,0,1.903628677,257.0953636,0.034122,0.035365,Discharge-----,,,,,
0,0,1.903628677,306.1398877,0.034122,0.035145,Discharge-----,,,,,
0,0,1.903628677,397.497143,0.034122,0.03487,Discharge-----,,,,,
0,0,1.903628677,364.1322481,0.034122,0.03465,Discharge-----,,,,,
0,0,1.903628677,306.2532647,0.034122,0.03487,Discharge-----,,,,,
0,0,1.903628677,297.4371597,0.034122,0.036102,Discharge-----,,,,,
0,0,1.903628677,296.6550596,0.034122,0.040722,Discharge-----,,,,,
0,0,1.903628677,271.9790694,0.034122,0.038324,Discharge-----,,,,,
0,0,1.903628677,248.6950132,0.034122,0.036025,Discharge-----,,,,,
0,0,1.903628677,239.2694288,0.034122,0.035398,Discharge-----,,,,,
0,0,1.903628677,247.6281677,0.034122,0.035134,Discharge-----,,,,,
